"Date","Latitude","Longitude","Matrix","Subregion","cadmium","copper","mercury","selenium"
1997-04-22,38.434929,-121.525161743164,"water","Sacramento River",0.016,3.38,0.00431,NA
1997-04-22,38.459202,-121.50309753418,"water","Sacramento River",0.031,1.37,0.00138,NA
1997-04-23,38.020542,-121.806266784668,"water","Confluence",0.010296,2.79395,0.00124,0.201
1997-04-23,38.050999,-122.098999023438,"water","SW Suisun",0.0369171,1.82428,0.0199,0.251
1997-04-23,38.0597,-121.811264038086,"water","Confluence",0.0284892,1.4681,0.00737,0.121
1997-04-24,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.18
1997-05-02,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.42
1997-05-08,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.89
1997-05-15,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.09
1997-05-20,38.434929,-121.525161743164,"water","Sacramento River",0.011,0.69,0.00077,NA
1997-05-20,38.459202,-121.50309753418,"water","Sacramento River",0.02,1.39,0.00409,NA
1997-05-23,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.47
1997-05-29,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.5
1997-06-05,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.85
1997-06-12,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.17
1997-06-24,38.434929,-121.525161743164,"water","Sacramento River",0.013,1.09,0.00175,NA
1997-06-24,38.459202,-121.50309753418,"water","Sacramento River",0.01,2.82,0.0017,NA
1997-06-25,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.52
1997-07-02,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.4
1997-07-10,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.36
1997-07-17,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.16
1997-07-22,38.434929,-121.525161743164,"water","Sacramento River",0.012,3.64,0.00064,NA
1997-07-22,38.459202,-121.50309753418,"water","Sacramento River",0.008,2.88,0.00118,NA
1997-07-24,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.34
1997-07-31,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.26
1997-08-05,38.050999,-122.098999023438,"water","SW Suisun",0.0351205,4.41007,0.00117,0.209
1997-08-05,38.067001,-121.93399810791,"water","NE Suisun",0.0342091,1.45477,0.00191,0.152
1997-08-05,38.116001,-122.040000915527,"water","NW Suisun",0.046327,1.66482,0.00118,0.154
1997-08-06,38.020542,-121.806266784668,"water","Confluence",0.00975338,1.45737,0.00794,0.069
1997-08-06,38.0597,-121.811264038086,"water","Confluence",0.0112735,2.21857,0.00131,0.036
1997-08-07,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1
1997-08-14,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.4
1997-08-19,38.434929,-121.525161743164,"water","Sacramento River",0.006,1.12,0.00084,NA
1997-08-19,38.459202,-121.50309753418,"water","Sacramento River",0.004,1.13,0.00414,NA
1997-08-21,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.09
1997-08-28,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.22
1997-09-05,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.3
1997-09-12,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.8
1997-09-16,38.434929,-121.525161743164,"water","Sacramento River",0.013,3.43,0.00075,NA
1997-09-16,38.459202,-121.50309753418,"water","Sacramento River",0.011,1.44,0.00063,NA
1997-09-18,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.84
1997-09-25,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.38
1997-10-02,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.48
1997-10-09,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.8
1997-10-09,38.459202,-121.50309753418,"water","Sacramento River",0.04,3.21,0.00065,NA
1997-10-16,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.7
1997-10-21,38.434929,-121.525161743164,"water","Sacramento River",0.017,1.97,0.00086,NA
1997-10-21,38.459202,-121.50309753418,"water","Sacramento River",0.025,1.24,0.00076,NA
1997-10-24,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.64
1997-10-30,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.04
1997-11-06,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.82
1997-11-14,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.76
1997-11-18,38.434929,-121.525161743164,"water","Sacramento River",0.023,1.44,9e-04,NA
1997-11-18,38.459202,-121.50309753418,"water","Sacramento River",0.01,2.21,0.00085,NA
1997-11-19,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.94
1997-11-25,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.84
1997-12-05,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.76
1997-12-11,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.45
1997-12-16,38.434929,-121.525161743164,"water","Sacramento River",0.009,4.44,0.00754,NA
1997-12-16,38.459202,-121.50309753418,"water","Sacramento River",0.008,2,0.00143,NA
1997-12-18,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.23
1997-12-26,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.76
1998-01-02,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.8
1998-01-08,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,1.26
1998-01-15,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.86
1998-01-20,38.434929,-121.525161743164,"water","Sacramento River",0.008,NA,NA,NA
1998-01-20,38.459202,-121.50309753418,"water","Sacramento River",0.005,NA,NA,NA
1998-01-21,38.434929,-121.525161743164,"water","Sacramento River",NA,2.15,0.00211,NA
1998-01-21,38.459202,-121.50309753418,"water","Sacramento River",0.052,2.2,0.00221,NA
1998-01-22,37.675556,-121.264167785645,"water","South Delta",NA,NA,NA,0.46
1998-01-22,38.434929,-121.525161743164,"water","Sacramento River",0.052,NA,0.0197,NA
1998-01-28,37.675556,-121.264167785645,"water","South Delta",NA,1.8,NA,0.63
1998-01-28,38.434929,-121.525161743164,"water","Sacramento River",NA,7.3,NA,NA
1998-01-29,38.459202,-121.50309753418,"water","Sacramento River",0.052,7.16,0.0133,NA
1998-02-03,38.050999,-122.098999023438,"water","SW Suisun",0.0102,5.115,0.00297,0.186
1998-02-03,38.067001,-121.93399810791,"water","NE Suisun",0.0317,4.4031,0.0116,0.134
1998-02-03,38.116001,-122.040000915527,"water","NW Suisun",0.01,4.528,0.00374,0.131
