"Date","Latitude","Longitude","Matrix","Subregion","fipronil","fipronil_desulfinyl","fipronil_desulfinyl_amide","fipronil_sulfide","fipronil_sulfone"
2008-03-12,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2008-03-26,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2008-04-08,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2008-04-24,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2008-04-28,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2008-05-05,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2008-05-08,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2008-05-21,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2008-06-06,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2008-06-18,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2008-06-19,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2008-07-09,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2008-08-05,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2008-08-06,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2008-08-27,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2008-09-24,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2008-10-28,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2008-10-29,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2008-11-13,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2008-12-09,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2008-12-10,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2008-12-22,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2008-12-23,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-01-06,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2009-01-07,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-01-21,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-01-26,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2009-02-04,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-02-05,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2009-02-18,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-02-25,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2009-03-10,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-03-25,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-04-08,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-04-21,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2009-04-22,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-05-20,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-05-21,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2009-06-02,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-06-08,37.775,-121.6964,"water","South Delta",0,0,NA,NA,NA
2009-06-16,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-06-24,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2009-07-07,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-07-23,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-08-18,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-08-26,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2009-08-31,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-09-09,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-10-27,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-11-18,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2009-11-24,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-12-01,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-12-03,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2009-12-15,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2009-12-16,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2010-01-05,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2010-01-14,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2010-01-19,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2010-01-27,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2010-02-02,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2010-02-03,37.775,-121.6964,"water","South Delta",0,0,NA,NA,NA
2010-02-03,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2010-02-17,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2010-03-03,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2010-03-04,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2010-03-18,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2010-04-06,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2010-04-08,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2010-05-18,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
2010-05-19,38.45602,-121.5013,"water","Sacramento River",0,0,0,NA,NA
2010-06-02,37.67555,-121.2655,"water","South Delta",0,0,0,NA,NA
