"Date","Latitude","Longitude","Matrix","Subregion","esfenvalerate","cyfluthrin","bifenthrin"
2011-03-19,38.24633,-121.7080994,"water","North Delta",0,0,0
2011-03-19,38.25528,-121.6669998,"water","North Delta",0,0,0
2011-03-19,38.27375,-121.6773605,"water","North Delta",0,0,0
2011-03-19,38.277748,-121.7101593,"water","North Delta",0,0,0
2011-03-19,38.293228,-121.7408676,"water","North Delta",0,0,0.0021
2011-03-25,38.277748,-121.7101593,"water","North Delta",0,0,0
2011-03-25,38.293228,-121.7408676,"water","North Delta",0,0,0.0025
2011-04-05,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2011-04-11,38.04278,-121.92013,"water","Confluence",0,0,0
2011-04-11,38.36771,-121.5205,"water","Sacramento River",0,0,0
2011-04-12,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2011-04-18,38.04278,-121.92013,"water","Confluence",0,0,0
2011-04-18,38.36771,-121.5205,"water","Sacramento River",0,0,0
2011-04-19,38.459202,-121.5030975,"water","Sacramento River",0,0,0
2011-04-20,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2011-04-21,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2011-04-25,38.04278,-121.92013,"water","Confluence",0,0,0
2011-04-25,38.36771,-121.5205,"water","Sacramento River",0,0,0
2011-04-26,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2011-05-02,38.04278,-121.92013,"water","Confluence",0,0,0
2011-05-02,38.36771,-121.5205,"water","Sacramento River",0,0,0
2011-05-03,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2011-05-03,38.234798,-121.681282,"water","North Delta",0,0,0
2011-05-03,38.24633,-121.7080994,"water","North Delta",0,0,0
2011-05-03,38.25528,-121.6669998,"water","North Delta",0,0,0
2011-05-03,38.27375,-121.6773605,"water","North Delta",0,0,0
2011-05-03,38.277748,-121.7101593,"water","North Delta",0,0,0
2011-05-03,38.293228,-121.7408676,"water","North Delta",0,0,0
2011-05-06,38.234798,-121.681282,"water","North Delta",0,0,0
2011-05-09,38.04278,-121.92013,"water","Confluence",0,0,0
2011-05-09,38.36771,-121.5205,"water","Sacramento River",0,0,0
2011-05-10,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2011-05-10,38.234798,-121.681282,"water","North Delta",0,0,0
2011-05-10,38.24633,-121.7080994,"water","North Delta",0,0,0
2011-05-10,38.25528,-121.6669998,"water","North Delta",0,0,0
2011-05-10,38.27375,-121.6773605,"water","North Delta",0,0,0
2011-05-10,38.277748,-121.7101593,"water","North Delta",0,0,0
2011-05-10,38.293228,-121.7408676,"water","North Delta",0,0,0
2011-05-12,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2011-05-13,38.234798,-121.681282,"water","North Delta",0,0,0
2011-05-16,38.04278,-121.92013,"water","Confluence",0,0,0
2011-05-16,38.36771,-121.5205,"water","Sacramento River",0,0,0
2011-05-17,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2011-05-17,38.234798,-121.681282,"water","North Delta",0,0,0
2011-05-17,38.24633,-121.7080994,"water","North Delta",0,0,0
2011-05-17,38.25528,-121.6669998,"water","North Delta",0,0,0
2011-05-17,38.27375,-121.6773605,"water","North Delta",0,0,0
2011-05-17,38.277748,-121.7101593,"water","North Delta",0,0,0
2011-05-17,38.293228,-121.7408676,"water","North Delta",0,0,0
2011-05-20,38.234798,-121.681282,"water","North Delta",0,0,0
2011-05-23,38.04278,-121.92013,"water","Confluence",0,0,0
2011-05-23,38.36771,-121.5205,"water","Sacramento River",0,0,0
2011-05-23,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2011-05-24,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2011-05-24,38.234798,-121.681282,"water","North Delta",0,0,0
2011-05-24,38.24633,-121.7080994,"water","North Delta",0,0,0
2011-05-24,38.25528,-121.6669998,"water","North Delta",0,0,0
2011-05-24,38.27375,-121.6773605,"water","North Delta",0,0,0
2011-05-24,38.277748,-121.7101593,"water","North Delta",0,0,0
2011-05-24,38.293228,-121.7408676,"water","North Delta",0,0,0
2011-05-27,38.234798,-121.681282,"water","North Delta",0,0,0
2011-05-31,38.11708,-122.03972,"water","Suisun Bay",0,0,0
2011-05-31,38.234798,-121.681282,"water","North Delta",0,0,0
