"Date","Latitude","Longitude","Matrix","Subregion","atrazine","imidacloprid","glyphosate","clothianidin"
1992-08-29,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-08-31,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-08-31,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-09-02,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-09-04,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-09-04,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-09-12,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-09-14,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-09-14,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-09-16,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-09-18,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-09-21,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-09-24,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-09-26,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-10-04,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-10-05,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-10-06,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-10-07,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-10-08,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-10-12,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-10-16,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-10-18,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-10-19,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-10-28,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-10-30,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-11-02,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-11-04,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-11-14,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-11-16,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-11-18,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-11-20,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-11-23,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-11-24,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-11-27,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-11-30,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-12-02,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-12-06,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-12-07,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1992-12-08,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-12-14,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-12-20,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1992-12-22,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-01-04,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-01-05,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-01-06,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-01-08,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-01-08,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-01-11,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-01-11,38.58631,-121.50537,"water","Sacramento River",0,NA,NA,NA
1993-01-13,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
1993-01-15,37.67555,-121.26547,"water","South Delta",0,NA,NA,NA
