"Subregion","Season","Copper_ppb","Analyte","Unit"
"Central Delta","Fall",1.12,"copper","ug/L"
"Central Delta","Fall",1.22,"copper","ug/L"
"North Delta","Fall",1.24,"copper","ug/L"
"Central Delta","Fall",0.43,"copper","ug/L"
"Central Delta","Winter",0.99,"copper","ug/L"
"Sacramento River","Winter",1.03,"copper","ug/L"
"Central Delta","Winter",1.5,"copper","ug/L"
"North Delta","Winter",2.38,"copper","ug/L"
"Central Delta","Winter",1.1,"copper","ug/L"
"Central Delta","Winter",1.5,"copper","ug/L"
"Central Delta","Winter",2.8,"copper","ug/L"
"Central Delta","Winter",3.29,"copper","ug/L"
"Central Delta","Winter",1.36,"copper","ug/L"
"Sacramento River","Winter",2.62,"copper","ug/L"
"North Delta","Winter",3.76,"copper","ug/L"
"North Delta","Winter",2.36,"copper","ug/L"
"Central Delta","Winter",3.67,"copper","ug/L"
"Central Delta","Winter",1.47,"copper","ug/L"
"Sacramento River","Winter",1.85,"copper","ug/L"
"Central Delta","Spring",2.03,"copper","ug/L"
"Central Delta","Spring",4.37,"copper","ug/L"
"North Delta","Spring",3.96,"copper","ug/L"
"Sacramento River","Spring",2.6,"copper","ug/L"
"Central Delta","Spring",1.43,"copper","ug/L"
"North Delta","Spring",3.57,"copper","ug/L"
"Central Delta","Spring",1.89,"copper","ug/L"
"Sacramento River","Spring",1.3,"copper","ug/L"
"Sacramento River","Spring",1.03,"copper","ug/L"
"Central Delta","Spring",1.23,"copper","ug/L"
"Central Delta","Spring",1.23,"copper","ug/L"
"North Delta","Spring",2.97,"copper","ug/L"
"Central Delta","Summer",1.32,"copper","ug/L"
"Sacramento River","Summer",1.09,"copper","ug/L"
"Central Delta","Summer",1.6,"copper","ug/L"
"North Delta","Summer",4.23,"copper","ug/L"
"Sacramento River","Summer",1.18,"copper","ug/L"
"Central Delta","Summer",1.33,"copper","ug/L"
"North Delta","Summer",3.82,"copper","ug/L"
"Central Delta","Summer",1.96,"copper","ug/L"
"Central Delta","Summer",0.62,"copper","ug/L"
"Central Delta","Summer",1.1,"copper","ug/L"
"Central Delta","Summer",0.9,"copper","ug/L"
"Central Delta","Summer",1,"copper","ug/L"
"Central Delta","Summer",1.5,"copper","ug/L"
"Central Delta","Summer",1,"copper","ug/L"
"Central Delta","Summer",0.99,"copper","ug/L"
"Sacramento River","Summer",1.13,"copper","ug/L"
"North Delta","Summer",2.69,"copper","ug/L"
"Central Delta","Summer",1.51,"copper","ug/L"
"Central Delta","Fall",1.28,"copper","ug/L"
"Sacramento River","Fall",1.39,"copper","ug/L"
"Central Delta","Fall",1.28,"copper","ug/L"
"North Delta","Fall",2.31,"copper","ug/L"
"Central Delta","Fall",0.77,"copper","ug/L"
"Central Delta","Fall",0.69,"copper","ug/L"
"Central Delta","Fall",2,"copper","ug/L"
"Central Delta","Fall",2,"copper","ug/L"
"Sacramento River","Fall",1.7,"copper","ug/L"
"North Delta","Fall",2.6,"copper","ug/L"
"Central Delta","Fall",1.4,"copper","ug/L"
"North Delta","Fall",4.1,"copper","ug/L"
"Sacramento River","Fall",1.7,"copper","ug/L"
"Central Delta","Fall",1.8,"copper","ug/L"
"South Delta","Winter",18,"copper","ug/L"
"Sacramento River","Winter",76,"copper","ug/L"
"Central Delta","Winter",0.97,"copper","ug/L"
"North Delta","Winter",4.1,"copper","ug/L"
"Central Delta","Winter",1.9,"copper","ug/L"
"Sacramento River","Winter",1.7,"copper","ug/L"
"Central Delta","Winter",1.2,"copper","ug/L"
"Central Delta","Winter",0.85,"copper","ug/L"
"Central Delta","Winter",0.27,"copper","ug/L"
"Central Delta","Winter",0.84,"copper","ug/L"
"Confluence","Winter",3.51,"copper","ug/L"
"North Delta","Winter",5.6,"copper","ug/L"
"Central Delta","Winter",1.5,"copper","ug/L"
"Sacramento River","Winter",1.8,"copper","ug/L"
"Central Delta","Winter",3.4,"copper","ug/L"
"South Delta","Winter",16,"copper","ug/L"
"Sacramento River","Winter",61,"copper","ug/L"
"Central Delta","Winter",1.7,"copper","ug/L"
"North Delta","Winter",1.1,"copper","ug/L"
"Central Delta","Winter",1.2,"copper","ug/L"
"Sacramento River","Winter",1.2,"copper","ug/L"
"Central Delta","Spring",1.3,"copper","ug/L"
"North Delta","Spring",1.9,"copper","ug/L"
"Sacramento River","Spring",2.9,"copper","ug/L"
"Central Delta","Spring",1.3,"copper","ug/L"
"Sacramento River","Spring",150,"copper","ug/L"
"Central Delta","Spring",1.4,"copper","ug/L"
"North Delta","Spring",2.2,"copper","ug/L"
"Central Delta","Spring",2.1,"copper","ug/L"
"Sacramento River","Spring",1.3,"copper","ug/L"
"Sacramento River","Spring",1.6,"copper","ug/L"
"North Delta","Spring",7.8,"copper","ug/L"
"Central Delta","Spring",1.3,"copper","ug/L"
"Central Delta","Spring",1.1,"copper","ug/L"
"Central Delta","Summer",2.5,"copper","ug/L"
"North Delta","Summer",4.6,"copper","ug/L"
"Central Delta","Summer",1.9,"copper","ug/L"
"Sacramento River","Summer",2.2,"copper","ug/L"
"Central Delta","Summer",2.4,"copper","ug/L"
"Central Delta","Summer",1.8,"copper","ug/L"
"South Delta","Summer",0.18,"copper","ug/L"
"Central Delta","Summer",0.86,"copper","ug/L"
"South Delta","Summer",0,"copper","ug/L"
"Central Delta","Summer",1,"copper","ug/L"
"Central Delta","Summer",0.97,"copper","ug/L"
"Central Delta","Summer",0.8,"copper","ug/L"
