"Subregion","Season","Turbidity_NTU","Analyte","Unit"
"Central Delta","Summer",8.3,"turbidity","NTU"
"Sacramento River","Summer",24,"turbidity","NTU"
"North Delta","Summer",75,"turbidity","NTU"
"North Delta","Summer",3.9,"turbidity","NTU"
"Sacramento River","Summer",5.63,"turbidity","NTU"
"Central Delta","Summer",1.33,"turbidity","NTU"
"Central Delta","Summer",12,"turbidity","NTU"
"Central Delta","Summer",5.9,"turbidity","NTU"
"Central Delta","Summer",34,"turbidity","NTU"
"South Delta","Summer",11,"turbidity","NTU"
"Sacramento River","Summer",22,"turbidity","NTU"
"North Delta","Summer",3.3,"turbidity","NTU"
"North Delta","Summer",56,"turbidity","NTU"
"South Delta","Fall",20,"turbidity","NTU"
"Central Delta","Fall",6.1,"turbidity","NTU"
"Central Delta","Fall",14,"turbidity","NTU"
"Central Delta","Fall",6.6,"turbidity","NTU"
"Central Delta","Fall",2.19,"turbidity","NTU"
"Sacramento River","Fall",7.31,"turbidity","NTU"
"North Delta","Fall",16,"turbidity","NTU"
"North Delta","Fall",3.5,"turbidity","NTU"
"Sacramento River","Fall",24,"turbidity","NTU"
"Sacramento River","Fall",6.3,"turbidity","NTU"
"Sacramento River","Fall",7.6,"turbidity","NTU"
"Central Delta","Fall",12,"turbidity","NTU"
"Central Delta","Fall",5,"turbidity","NTU"
"South Delta","Fall",9.7,"turbidity","NTU"
"Central Delta","Fall",21,"turbidity","NTU"
"Sacramento River","Fall",32,"turbidity","NTU"
"North Delta","Fall",22,"turbidity","NTU"
"North Delta","Fall",4,"turbidity","NTU"
"Sacramento River","Fall",4.6,"turbidity","NTU"
"Sacramento River","Fall",5.4,"turbidity","NTU"
"Central Delta","Fall",4.37,"turbidity","NTU"
"Sacramento River","Fall",3.81,"turbidity","NTU"
"North Delta","Fall",23,"turbidity","NTU"
"North Delta","Fall",13,"turbidity","NTU"
"Central Delta","Fall",5.8,"turbidity","NTU"
"Sacramento River","Fall",30,"turbidity","NTU"
"Central Delta","Fall",30,"turbidity","NTU"
"Central Delta","Fall",3,"turbidity","NTU"
"South Delta","Fall",5.06,"turbidity","NTU"
"Sacramento River","Winter",10,"turbidity","NTU"
"Sacramento River","Winter",15,"turbidity","NTU"
"North Delta","Winter",17,"turbidity","NTU"
